time [sec],velocity [m/s],angle [rad],x[m],y [m],Torque,,,
0,0,0,0.000008,0.000031,1584.0000472015,,,2581.4030769231
0.03,0.08334,0,0.036736,0.022064,5600.0001668741,0.0014545574,,2581.4030769231
0.06,0.16668,-1.28453E-006,0.073463,0.044098,5600.0001668741,0.0029091148,,2581.4030769231
0.09,0.25002,0,0.110191,0.066132,5600.0001668741,0.0043636722,,2581.4030769231
0.12,0.33336,0,0.146919,0.088165,5600.0001668741,0.0058182296,,2581.4030769231
0.15,0.4167,1.76967E-006,0.183647,0.110199,5600.0001668741,0.007272787,,2581.4030769231
0.18,0.50004,2.80954E-006,0.220375,0.132233,5600.0001668741,0.0087273444,,2581.4030769231
0.21,0.58338,3.78442E-006,0.257103,0.154266,5600.0001668741,0.0101819018,,2581.4030769231
0.24,0.66672,4.82429E-006,0.293831,0.1763,5600.0001668741,0.0116364592,,2581.4030769231
0.27,0.75006,5.86416E-006,0.330559,0.198334,5600.0001668741,0.0130910166,,2581.4030769231
0.3,0.8334,0.000006904,0.367287,0.220367,5600.0001668741,0.014545574,,2581.4030769231
0.33,0.91674,7.87891E-006,0.404015,0.242401,5600.0001668741,0.0160001314,,2581.4030769231
0.36,1.00008,8.91878E-006,0.440742,0.264435,5600.0001668741,0.0174546888,,2581.4030769231
0.39,1.08342,9.89367E-006,0.47747,0.286469,5600.0001668741,0.0189092462,,2581.4030769231
0.42,1.16676,1.09335E-005,0.514198,0.308502,5600.0001668741,0.0203638036,,2581.4030769231
0.45,1.2501,1.19734E-005,0.550926,0.330536,5600.0001668741,0.021818361,,2581.4030769231
0.48,1.33344,1.30133E-005,0.587654,0.35257,5600.0001668741,0.0232729184,,2581.4030769231
0.51,1.41678,1.39882E-005,0.624382,0.374603,5600.0001668741,0.0247274758,,2581.4030769231
0.54,1.50012,1.50281E-005,0.66111,0.396637,5600.0001668741,0.0261820332,,2581.4030769231
0.57,1.58346,1.60029E-005,0.697838,0.418671,5600.0001668741,0.0276365906,,2581.4030769231
0.6,1.6668,1.70428E-005,0.734566,0.44072,5600.0001668741,0.029091148,,2581.4030769231
0.63,1.75014,1.70354E-005,0.771294,0.462753,5600.0001668741,0.0305457054,,2581.4030769231
0.66,1.83348,1.70279E-005,0.808022,0.484802,5600.0001668741,0.0320002628,,2581.4030769231
0.69,1.91682,1.69555E-005,0.844749,0.506836,5600.0001668741,0.0334548202,,2581.4030769231
0.72,2.00016,1.68317E-005,0.881477,0.528885,5600.0001668741,0.0349093776,,2581.4030769231
0.75,2.0835,1.67593E-005,0.918205,0.550919,5600.0001668741,0.036363935,,2581.4030769231
0.78,2.16684,1.67518E-005,0.954933,0.572968,5600.0001668741,0.0378184924,,2581.4030769231
0.81,2.25018,1.67444E-005,0.991661,0.595001,5599.9329722477,0.0392730498,,2581.3721025641
0.84,2.333519,1.06858E-005,1.028389,0.61705,5600.0001668741,0.0407275897,,2581.4030769231
0.87,2.416859,1.16607E-005,1.065117,0.639084,5600.0001668741,0.0421821471,,2581.4030769231
0.9,2.500199,1.27006E-005,1.101845,0.661133,5600.0001668741,0.0436367045,,2581.4030769231
0.93,2.583539,1.36755E-005,1.138573,0.683167,5600.0001668741,0.0450912619,,2581.4030769231
0.96,2.666879,1.47153E-005,1.175297,0.705215,5600.0001668741,0.0465458193,,2581.4030769231
0.99,2.750219,1.57552E-005,1.212025,0.727249,5600.0001668741,0.0480003767,,2581.4030769231
1.02,2.833559,1.67301E-005,1.248749,0.749298,5600.0001668741,0.0494549341,,2581.4030769231
1.049999,2.916899,1.71674E-005,1.336475,0.801926,5600.0001668741,0.0509094915,,2581.4030769231
1.079999,3.000239,1.47814E-005,1.424202,0.854553,5600.0001668741,0.0523640489,,2581.4030769231
1.109999,3.083579,1.24582E-005,1.511929,0.907181,5600.0001668741,0.0538186063,,2581.4030769231
1.139999,3.166919,1.00723E-005,1.599655,0.959824,5599.9329722477,0.0552731637,,2581.3721025641
1.169999,3.250258,7.81191E-006,1.687382,1.012451,5600.0001668741,0.0567277036,,2581.4030769231
1.199999,3.333598,0.000005426,1.775108,1.065094,5600.0001668741,,,2581.4030769231
1.229999,3.416938,3.1656E-006,1.862831,1.117722,5600.0001668741,,,2581.4030769231
1.259999,3.500278,0,1.950558,1.170364,5600.0001668741,,,2581.4030769231
1.289999,3.583618,-1.4175E-006,2.03828,1.222992,5600.0001668741,,,2581.4030769231
