time[sec],velocity[sec],angle[rad],x[m],y[m],,
0,0,0,0,0,5600.0001668741,
0.03,0.08334,0,0,0,5600.0001668741,
0.06,0.16668,0,0,0.025026,5600.0001668741,
0.09,0.25002,0,0,0.050053,5600.0001668741,
0.12,0.33336,0,0,0.075079,5600.0001668741,
0.15,0.4167,0,0,0.100105,5600.0001668741,
0.18,0.50004,0,0,0.125132,5600.0001668741,
0.21,0.58338,0,0,0.150158,5600.0001668741,
0.24,0.66672,0,0,0.175184,5600.0001668741,
0.27,0.75006,0,0,0.200211,5600.0001668741,
0.3,0.8334,0,0,0.225237,5600.0001668741,
0.33,0.91674,0,0,0.250263,5600.0001668741,
0.36,1.00008,0,0,0.27529,5600.0001668741,
0.39,1.08342,0,0,0.300316,5600.0001668741,
0.42,1.16676,0,0,0.325342,5600.0001668741,
0.45,1.2501,0,0,0.350367,5600.0001668741,
0.48,1.33344,0,0,0.375393,5600.0001668741,
0.51,1.41678,0,0,0.400417,5600.0001668741,
0.54,1.50012,0,0,0.425444,5600.0001668741,
0.57,1.58346,0,0,0.450468,5600.0001668741,
0.6,1.6668,0,0,0.475494,5600.0001668741,
0.63,1.75014,0,0,0.535831,5600.0001668741,
0.66,1.83348,0,0,0.596169,5600.0001668741,
0.69,1.91682,0,0,0.656504,5600.0001668741,
0.72,2.00016,0,0,0.716841,5599.9329722477,
0.75,2.083499,0,0,0.777176,5600.0001668741,
0.78,2.166839,0,0,0.837513,5600.0001668741,
0.81,2.250179,0,0,0.897848,5600.0001668741,
0.84,2.333519,0,0,0.958185,5600.0001668741,
0.87,2.416859,0,0,1.036064,5600.0001668741,
0.9,2.500199,0,0,1.113943,5600.0001668741,
0.93,2.583539,0,0,1.191822,5600.0001668741,
0.96,2.666879,0,0,1.269703,5600.0001668741,
0.99,2.750219,0,0,1.347582,5600.0001668741,
1.02,2.833559,0,0,1.425463,5599.9329722477,
1.05,2.916898,0,0,1.517128,5600.0001668741,
1.08,3.000238,0,0,1.608793,5600.0001668741,
1.11,3.083578,0,0,1.700459,5600.0001668741,
1.14,3.166918,0,0,1.792124,5600.0001668741,
1.17,3.250258,0,0,1.883789,5600.0001668741,
1.2,3.333598,0,0,1.975454,5600.0001668741,
1.23,3.416938,0,0,2.08135,5600.0001668741,
1.26,3.500278,0,0,2.187246,5600.0001668741,
1.29,3.583618,0,0,2.293142,5600.0001668741,
1.32,3.666958,0,0,2.399038,5600.0001668741,
1.35,3.750298,0,0,2.514574,5600.0001668741,
1.38,3.833638,0,0,2.63011,5600.0001668741,
1.41,3.916978,0,0,2.745646,5600.0001668741,
1.44,4.000318,0,0,2.861183,5600.0001668741,
1.47,4.083658,0,0,2.976719,5600.0001668741,
1.5,4.166998,0,0,3.10412,5600.0001668741,
1.53,4.250338,0,0,3.231524,5600.0001668741,
1.56,4.333678,0,0,3.358925,5599.9329722477,
1.59,4.417017,0,0,3.493917,5600.0673615005,
1.62,4.500358,0,0,3.62891,5599.9329722476,
1.65,4.583697,0,0,3.763903,5600.0001668741,
1.68,4.667037,0,0,3.898895,5600.0001668741,
1.71,4.750377,0,0,4.043089,5600.0001668741,
1.74,4.833717,0,0,4.187283,5600.0001668741,
1.77,4.917057,0,0,4.331476,5600.0001668741,
1.8,5.000397,0,0,4.475668,5600.0001668741,
1.83,5.083737,0,0,4.629711,5600.0001668741,
1.86,5.167077,0,0,4.783752,5600.0001668741,
1.89,5.250417,0,0,4.937796,5599.9329722477,
1.92,5.333756,0,0,5.099207,5600.0001668741,
1.95,5.417096,0,0,5.260616,5600.0001668741,
1.98,5.500436,0,0,5.422026,5600.0001668741,
2.01,5.583776,0,0,5.59074,5600.0001668741,
2.04,5.667116,0,0,5.759455,5600.0001668741,
2.07,5.750456,0,0,5.928169,5600.0001668741,
