time[sec],velocity[sec],angle[rad],x[m],y[m],
0,0,0,0,0,1.5707963268
0.03,0.08334,0,0,0,
0.06,0.16668,0,0,0.025026,
0.09,0.25002,0,0,0.050053,
0.12,0.33336,0,0,0.075079,
0.15,0.4167,0,0,0.100105,
0.18,0.50004,0,0,0.125132,
0.21,0.58338,0,0,0.150158,
0.24,0.66672,0,0,0.175184,
0.27,0.75006,0,0,0.200211,
0.3,0.8334,0,0,0.225237,
0.33,0.91674,0,0,0.250263,
0.36,1.00008,0,0,0.27529,
0.39,1.08342,0,0,0.300316,
0.42,1.16676,0,0,0.325342,
0.45,1.2501,0,0,0.350367,
0.48,1.33344,0,0,0.375393,
0.51,1.41678,0,0,0.400417,
0.54,1.50012,0,0,0.425444,
0.57,1.58346,0,0,0.450468,
0.6,1.6668,0,0,0.475494,
0.63,1.75014,0,0,0.535831,
0.66,1.83348,0,0,0.596169,
0.69,1.91682,0,0,0.656504,
0.72,2.00016,0,0,0.716841,
0.75,2.083499,0,0,0.777176,
0.78,2.166839,0,0,0.837513,
0.81,2.250179,0,0,0.897848,
0.84,2.333519,0,0,0.958185,
0.87,2.416859,0,0,1.036064,
0.9,2.500199,0,0,1.113943,
0.93,2.583539,0,0,1.191822,
0.96,2.666879,0,0,1.269703,
0.99,2.750219,0,0,1.347582,
1.02,2.833559,0,0,1.425463,
1.05,2.916898,0,0,1.517128,
1.08,3.000238,0,0,1.608793,
1.11,3.083578,0,0,1.700459,
1.14,3.166918,0,0,1.792124,
1.17,3.250258,0,0,1.883789,
1.2,3.333598,0,0,1.975454,
1.23,3.416938,0,0,2.08135,
1.26,3.500278,0,0,2.187246,
1.29,3.583618,0,0,2.293142,
1.32,3.666958,0,0,2.399038,
1.35,3.750298,0,0,2.514574,
1.38,3.833638,0,0,2.63011,
1.41,3.916978,0,0,2.745646,
1.44,4.000318,0,0,2.861183,
1.47,4.083658,0,0,2.976719,
1.5,4.166998,0,0,3.10412,
1.53,4.250338,0,0,3.231524,
1.56,4.333678,0,0,3.358925,
1.59,4.417017,0,0,3.493917,
1.62,4.500358,0,0,3.62891,
1.65,4.583697,0,0,3.763903,
1.68,4.667037,0,0,3.898895,
1.71,4.749056,0,0,4.043024,
1.74,4.831075,0,0,4.187151,
1.77,4.913095,0,0,4.331278,
1.8,4.995113,0,0,4.475407,
1.83,4.996551,0,0,4.625303,
1.86,4.997988,0,0,4.7752,
1.89,4.999425,0,0,4.925097,
1.92,4.999579,0,0,5.075085,
1.95,4.999732,0,0,5.225075,
1.98,4.999886,0,0,5.375063,
2.01,4.999914,0,0,5.525061,
2.04,4.999942,0,0,5.675058,
2.07,4.99997,0,0,5.825056,
2.1,4.999998,0,0,5.975056,
2.13,4.999998,0,0,6.125055,
2.16,4.999999,0,0,6.275055,
2.19,5,0,0,6.425055,
2.22,5,0,0,6.575054,
2.25,5,0,0,6.725054,
2.28,5,0,0,6.875053,
2.31,5,0,0,7.025053,
2.34,5,0,0,7.175055,
2.37,5,0,0,7.325056,
2.4,5,0,0,7.475054,
2.43,5,0,0,7.625055,
2.46,5,0,0,7.775053,
2.49,5,0,0,7.925055,
2.52,5,0,0,8.075052,
2.55,5,0,0,8.225054,
2.58,5,0,0,8.375051,
2.61,5,0,0,8.525053,
2.64,5,0,0,8.675055,
2.67,5,0,0,8.825052,
2.7,5,0,0,8.97505,
2.73,5,0,0,9.125051,
2.76,5,0,0,9.275053,
2.79,5,0,0,9.425051,
2.82,5,0,0,9.575052,
2.85,5,0,0,9.72505,
2.88,5,0,0,9.875051,
2.91,5,0,0,10.025053,
2.94,5,0,0,10.175051,
2.97,5,0,0,10.325048,
3,5,0,0,10.47505,
3.03,5,0,0,10.625051,
3.06,5,0,0,10.775049,
3.09,5,0,0,10.925051,
3.12,5,0,0,11.075048,
3.15,5,0,0,11.22505,
3.18,5,0,0,11.375048,
3.21,5,0,0,11.525049,
3.24,5,0,0,11.675051,
3.27,5,0,0,11.825048,
3.3,5,0,0,11.975046,
3.33,5,0,0,12.125048,
3.36,5,0,0,12.275049,
3.39,5,0,0,12.425047,
3.42,5,0,0,12.575048,
3.45,5,0,0,12.725046,
3.48,5,0,0,12.875048,
3.51,5,0,0,13.025049,
3.54,5,0,0,13.175047,
3.57,5,0,0,13.325048,
3.6,5,0,0,13.475046,
3.63,5,0,0,13.625048,
3.66,5,0,0,13.775045,
3.69,5,0,0,13.925047,
3.72,5,0,0,14.075045,
3.75,5,0,0,14.225046,
3.78,5,0,0,14.375044,
3.81,5,0,0,14.525045,
3.84,5,0,0,14.675047,
3.87,5,0,0,14.825045,
3.9,5,0,0,14.975046,
3.93,5,0,0,15.125048,
3.96,5,0,0,15.275045,
3.99,5,0,0,15.425047,
4.02,5,0,0,15.575045,
4.05,5,0,0,15.725046,
4.08,5,0,0,15.875048,
4.11,5,0,0,16.025049,
4.14,5,0,0,16.175051,
4.17,5,0,0,16.325048,
4.2,5,0,0,16.47505,
4.23,5,0,0,16.625051,
4.26,5,0,0,16.775053,
4.29,5,0,0,16.925055,
4.32,5,0,0,17.075056,
4.35,5,0,0,17.225058,
4.38,5,0,0,17.375059,
4.41,5,0,0,17.525061,
4.44,5,0,0,17.675062,
4.47,5,0,0,17.82506,
4.5,5,0,0,17.975061,
4.53,5,0,0,18.125063,
4.56,5,0,0,18.275064,
4.59,5,0,0,18.425066,
4.62,5,0,0,18.575068,
4.65,5,0,0,18.725069,
4.68,5,0,0,18.875071,
4.71,5,0,0,19.025072,
4.74,5,0,0,19.175074,
4.77,5,0,0,19.325075,
4.8,5,0,0,19.475073,
4.83,5,0,0,19.625074,
4.86,5,0,0,19.775076,
4.89,5,0,0,19.925077,
4.92,5,0,0,20.075079,
4.95,5,0,0,20.22508,
4.98,5,0,0,20.375082,
5.01,5,0,0,20.525084,
5.04,5,0,0,20.675085,
5.07,5,0,0,20.825087,
5.1,5,0,0,20.975084,
5.13,5,0,0,21.125086,
5.16,5,0,0,21.275087,
5.19,5,0,0,21.425089,
5.22,5,0,0,21.57509,
5.25,5,0,0,21.725092,
5.28,5,0,0,21.875093,
5.31,5,0,0,22.025095,
5.34,5,0,0,22.175097,
5.37,5,0,0,22.325098,
5.4,5,0,0,22.475096,
5.43,5,0,0,22.625097,
5.46,5,0,0,22.775099,
5.49,5,0,0,22.9251,
5.52,5,0,0,23.075102,
5.55,5,0,0,23.225103,
5.58,5,0,0,23.375105,
5.61,5,0,0,23.525106,
5.64,5,0,0,23.675108,
5.67,5,0,0,23.825106,
5.7,5,0,0,23.975107,
5.73,5,0,0,24.125109,
5.76,5,0,0,24.27511,
5.79,5,0,0,24.425112,
5.82,5,0,0,24.575113,
5.85,5,0.00008,0,24.725115,
5.88,5,0.000153,0,24.875113,
5.91,5,0.000222,0.000021,25.025114,
5.94,5,0.000598,0.00004,25.175116,
5.97,5,0.000946,0.000061,25.325117,
6,5,0.001267,0.00008,25.475119,
6.03,5,0.001564,0.000227,25.62512,
6.06,5,0.002326,0.000374,25.775122,
6.09,5,0.00303,0.000521,25.925123,
6.12,5,0.00368,0.000889,26.075121,
6.15,5,0.004867,0.001257,26.225122,
6.18,5,0.005964,0.001625,26.37512,
6.21,5,0.006977,0.001995,26.525122,
6.24,5,0.007914,0.00284,26.675119,
6.27,5,0.009254,0.003683,26.825117,
6.3,5,0.010493,0.004528,26.975115,
6.33,5,0.011638,0.005371,27.125116,
6.36,5,0.012696,0.006851,27.27511,
6.39,5,0.014227,0.008331,27.425104,
6.42,5,0.015642,0.009809,27.575098,
6.45,5,0.016951,0.01129,27.725092,
6.48,5,0.018161,0.013584,27.875074,
6.51,5,0.019853,0.015879,28.025057,
6.54,5,0.021418,0.018173,28.175039,
6.57,5,0.022864,0.020468,28.325022,
6.6,5,0.0242,0.023764,28.474985,
6.63,5,0.026025,0.027061,28.624949,
6.66,5,0.027713,0.030357,28.774916,
6.69,5,0.029272,0.033655,28.924879,
6.72,5,0.030713,0.038143,29.074812,
6.75,5,0.032661,0.042631,29.224745,
6.78,5,0.03446,0.047119,29.374678,
6.81,5,0.036124,0.051607,29.524611,
6.84,5,0.037662,0.057484,29.674494,
6.87,5,0.03972,0.06336,29.824381,
6.9,5,0.041623,0.069237,29.974268,
6.93,5,0.043382,0.075115,30.124151,
6.96,5,0.045007,0.082584,30.273962,
6.99,5,0.047181,0.090052,30.423777,
7.02,5,0.04919,0.097521,30.573591,
7.05,5,0.051048,0.104988,30.723406,
7.08,5,0.052764,0.11426,30.873117,
7.11,5,0.05505,0.123531,31.022829,
7.14,5,0.057166,0.132803,31.172541,
7.17,5,0.059121,0.142075,31.322252,
7.2,5,0.060927,0.15337,31.471823,
7.23,5,0.063334,0.164665,31.621393,
7.26,5,0.065561,0.175961,31.770964,
7.29,5,0.067619,0.187256,31.920538,
7.32,5,0.069522,0.200804,32.069923,
7.35,5,0.072055,0.214352,32.219307,
7.38,5,0.074399,0.2279,32.36869,
7.41,5,0.076566,0.241447,32.518074,
7.44,5,0.078569,0.257488,32.667206,
7.47,5,0.081238,0.273527,32.816345,
7.5,5,0.083706,0.289568,32.965477,
7.53,5,0.085988,0.305607,33.114609,
7.56,5,0.088096,0.324389,33.26342,
7.59,5,0.09091,0.34317,33.412231,
7.62,5,0.093511,0.361952,33.56105,
7.65,5,0.095916,0.380733,33.709862,
7.68,5,0.098138,0.402517,33.858269,
7.71,5,0.101098,0.424301,34.006668,
7.74,5,0.103836,0.446085,34.155067,
7.77,5,0.106367,0.467869,34.303474,
7.8,5,0.108706,0.492924,34.451355,
7.83,5,0.111823,0.517979,34.599243,
7.86,5,0.114706,0.543036,34.747124,
7.89,5,0.117371,0.568092,34.895012,
7.92,5,0.119834,0.596699,35.042244,
7.95,5,0.123107,0.625305,35.189484,
7.98,5,0.126134,0.653912,35.336723,
8.01,5,0.128933,0.68252,35.483963,
8.04,5,0.131519,0.714964,35.630402,
8.07,5,0.134954,0.747408,35.77684,
8.1,5,0.138132,0.779852,35.923279,
8.13,5,0.14107,0.812296,36.069717,
8.16,5,0.143784,0.848869,36.215179,
8.19,5,0.147361,0.885445,36.360641,
8.22,5,0.150669,0.922018,36.506104,
8.25,5,0.153726,0.958591,36.651573,
8.28,5,0.15655,0.999586,36.795853,
8.31,5,0.160265,1.040581,36.94014,
8.34,5,0.1637,1.081575,37.084419,
8.37,5,0.166874,1.122572,37.228699,
8.4,5,0.169807,1.168276,37.371567,
8.43,5,0.173631,1.21398,37.514427,
8.46,5,0.177168,1.259684,37.657295,
8.49,5,0.180436,1.30929,37.798836,
8.52,5,0.184317,1.358896,37.940384,
8.55,5,0.187907,1.408503,38.081924,
8.58,5,0.191226,1.458111,38.223473,
8.61,5,0.194287,1.512688,38.363174,
8.64,5,0.198157,1.567263,38.502869,
8.67,5,0.201736,1.621838,38.64257,
8.7,5,0.205043,1.676413,38.782272,
8.73,5,0.208093,1.736357,38.919754,
8.76,5,0.211939,1.796301,39.057243,
8.79,5,0.215496,1.856247,39.194725,
8.82,5,0.218779,1.916191,39.332214,
8.85,5,0.221807,1.981728,39.467133,
8.88,5,0.225558,2.047262,39.602058,
8.91,5,0.229026,2.112797,39.736977,
8.94,5,0.232227,2.182814,39.869614,
8.97,5,0.23584,2.252831,40.002243,
9,5,0.239181,2.322847,40.13488,
9.03,5,0.242269,2.392864,40.267509,
9.06,5,0.245112,2.468449,40.397049,
