time[sec],velocity[sec],angle[rad],x[m],y[m]
0,0,0,0,0
0.03,0.08334,0,0,0
0.06,0.16668,0,0,0.01343
0.09,0.25002,0,0,0.026861
0.12,0.33336,0,0,0.040291
0.15,0.4167,0,0,0.053721
0.18,0.50004,0,0,0.067152
0.21,0.58338,0,0,0.080582
0.24,0.66672,0,0,0.094012
0.27,0.75006,0,0,0.107443
0.3,0.8334,0,0,0.120873
0.33,0.91674,0,0,0.150578
0.36,1.00008,0,0,0.180283
0.39,1.08342,0,0,0.209988
0.42,1.16676,0,0,0.239693
0.45,1.2501,0,0,0.269398
0.48,1.33344,0,0,0.31098
0.51,1.41678,0,0,0.352563
0.54,1.50012,0,0,0.394145
0.57,1.58346,0,0,0.442778
0.6,1.6668,0,0,0.491411
0.63,1.75014,0,0,0.540045
0.66,1.83348,0,0,0.595606
0.69,1.91682,0,0,0.651168
0.72,2.000159,0,0,0.70673
0.75,2.083499,0,0,0.769585
0.78,2.166839,0,0,0.832441
0.81,2.250179,0,0,0.900145
0.84,2.333519,0,0,0.967849
0.87,2.416859,0,0,1.040335
0.9,2.500199,0,0,1.112821
0.93,2.583539,0,0,1.190094
0.96,2.666879,0,0,1.267367
0.99,2.750219,0,0,1.349488
1.02,2.833559,0,0,1.434692
1.05,2.916898,0,0,1.519896
1.08,3.000238,0,0,1.609291
1.11,3.083578,0,0,1.698687
1.14,3.166918,0,0,1.792943
1.17,3.250258,0,0,1.890138
1.2,3.333598,0,0,1.987334
1.23,3.416938,0,0,2.088976
1.26,3.500278,0,0,2.193449
1.29,3.583618,0,0,2.300585
1.32,3.666957,0,0,2.407721
1.35,3.750297,0,0,2.519097
1.38,3.833637,0,0,2.633303
1.41,3.916977,0,0,2.750125
1.44,4.000317,0,0,2.866946
1.47,4.083657,0,0,2.988374
1.5,4.166997,0,0,3.112394
1.53,4.250337,0,0,3.238929
1.56,4.333677,0,0,3.367955
1.59,4.417017,0,0,3.49946
1.62,4.500357,0,0,3.633431
1.65,4.583696,0,0,3.769859
1.68,4.667037,0,0,3.908739
1.71,4.750377,0,0,4.050067
1.74,4.833716,0,0,4.193845
1.77,4.917056,0,0,4.340077
1.8,5.000396,0,0,4.488771
1.83,5.083736,0,0,4.639935
1.86,5.167076,0,0,4.793578
1.89,5.250416,0,0,4.949509
1.92,5.333755,0,0,5.10787
1.95,5.417096,0,0,5.268746
1.98,5.500435,0,0,5.432184
2.01,5.583775,0,0,5.599361
2.04,5.667115,0,0,5.768307
2.07,5.750454,0,0,5.939404
2.1,5.833795,0,0,6.11288
2.13,5.917135,0,0,6.288851
2.16,6.000474,0,0,6.467365
2.19,6.083814,0,0,6.649388
2.22,6.167154,0,0,6.833142
